b2kid,ts_cnt,bank_id,remarks,srl_num,event_amt,lchg_time,oper_acid,rcre_time,b2kid_type,event_type,link_b2kid,oper_crncy,margin_acid,margin_date,margin_rate,margin_type,lchg_user_id,link_srl_num,margin_crncy,rcre_user_id,event_srl_num,margin_action,treasury_rate,dnm_serial_num,entity_cre_flg,margin_srl_num,margin_tran_id,link_b2kid_type,margin_rate_code,treasury_ref_num,adjust_margin_flg,link_margin_srl_num,adjust_margin_event_flg,updated_at
DC144419,1,1,LC MARGIN,1,96000,2014-06-23T16:00:22,2559106,2014-06-23T15:54:36,DOCCR,M,,NPR,24768,2014-06-23T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,    M8667,,,,,,,2024-08-07 06:48:28.855
DC144242,1,1,MARGIN RELEASED,2,208000,2014-06-24T14:57:32,2559106,2014-06-24T13:03:32,DOCCR,M,,NPR,24768,2014-06-24T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M6793,,,,,1.0,,2024-08-07 06:48:28.855
DC144196,1,1,MARGIN RELEASED,5,29000,2014-06-24T17:03:53,2559106,2014-06-24T16:58:13,DOCCR,M,,NPR,24768,2014-06-24T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,4.0,R,,,Y,1,    M8347,,,,,1.0,,2024-08-07 06:48:28.855
DC144427,1,1,LC MARGIN,1,200000,2014-06-24T17:57:29,2559106,2014-06-24T17:54:44,DOCCR,S,,NPR,24768,2014-06-24T00:00:00.000000,0,C,CD0122,,NPR,NAMRATAM,1.0,C,,,Y,1,    M8884,,,,,,,2024-08-07 06:48:28.855
DC144067,1,1,MARGIN RELEASED,3,179000,2014-06-26T16:46:29,2559106,2014-06-26T15:34:39,DOCCR,M,,NPR,24768,2014-06-26T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M7556,,,,,1.0,,2024-08-07 06:48:28.855
DC144440,1,1,LC MARGIN,1,255000,2014-06-26T17:17:22,2559106,2014-06-26T14:53:21,DOCCR,S,,NPR,24768,2014-06-26T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,    M7861,,,,,,,2024-08-07 06:48:28.855
DC144447,1,1,LC MARGIN,1,197000,2014-06-29T12:08:11,2559106,2014-06-29T11:11:36,DOCCR,S,,NPR,24768,2014-06-29T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,    M3195,,,,,,,2024-08-07 06:48:28.855
DC144346,1,1,LC MARGIN RELEASED,3,30000,2014-06-30T17:11:14,2559106,2014-06-30T17:09:05,DOCCR,A,,NPR,24768,2014-06-30T00:00:00.000000,0,C,SATISHRS,,NPR,ABHISHEKS,2.0,R,,,Y,1,    M8774,,,,,,,2024-08-07 06:48:28.855
DC144222,1,1,MARGIN RELEASED,2,170000,2014-07-16T15:41:18,2559106,2014-07-16T13:53:44,DOCCR,M,,NPR,24768,2014-07-16T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M9104,,,,,1.0,,2024-08-07 06:48:28.855
DC144222,1,1,MARGIN RELEASED,3,187000,2014-07-16T15:52:18,2559106,2014-07-16T15:51:21,DOCCR,M,,NPR,24768,2014-07-16T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,2.0,R,,,Y,1,    M9339,,,,,1.0,,2024-08-07 06:48:28.855
DC144304,1,1,BG MARGIN RELEASED,3,171000,2014-07-16T16:11:32,2559106,2014-07-16T15:54:00.000000,DOCCR,M,,NPR,24768,2014-07-16T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,R,,,Y,1,    M9641,,,,,1.0,,2024-08-07 06:48:28.855
DC144543,1,1,LC MARGIN,1,1379000,2014-07-21T17:57:57,22562131,2014-07-21T17:38:35,DOCCR,S,,NPR,22950799,2014-07-21T00:00:00.000000,0,C,SATISHRS,,NPR,SS0358,1.0,C,,,Y,1,    M8440,,,,,,,2024-08-07 06:48:28.855
DC144548,1,1,L/C MARGIN,1,19000,2014-07-23T16:15:37,23562532,2014-07-23T15:14:00.000000,DOCCR,S,,NPR,23951984,2014-07-23T00:00:00.000000,0,C,SATISHRS,,NPR,SS0358,1.0,C,,,Y,1,    M7260,,,,,,,2024-08-07 06:48:28.855
DC144447,1,1,MARGIN RELEASED,2,197000,2014-07-25T13:25:53,2559106,2014-07-25T12:13:40,DOCCR,M,,NPR,24768,2014-07-25T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M5168,,,,,1.0,,2024-08-07 06:48:28.855
DC144608,1,1,LC MARGIN,1,116000,2014-08-04T18:27:15,23562532,2014-08-04T18:12:47,DOCCR,S,,NPR,23951984,2014-08-04T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,    M8124,,,,,,,2024-08-07 06:48:28.855
DC144626,1,1,BG MARGIN,1,360000,2014-08-06T15:08:24,2559106,2014-08-06T13:47:57,DOCCR,S,,NPR,2927102,2014-08-06T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,    M6287,,,,,,,2024-08-07 06:48:28.855
DC144427,1,1,MARGIN RELEASED,2,200000,2014-08-07T16:35:18,2559106,2014-08-07T15:23:09,DOCCR,M,,NPR,24768,2014-08-07T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M6817,,,,,1.0,,2024-08-07 06:48:28.855
DC144646,1,1,LC MARGIN,1,209000,2014-08-12T17:49:27,23562532,2014-08-12T15:23:24,DOCCR,S,,NPR,23951984,2014-08-12T00:00:00.000000,0,C,SATISHRS,,NPR,ABHISHEKS,1.0,C,,,Y,1,   M10984,,,,,,,2024-08-07 06:48:28.855
DC144346,1,1,MARGIN RELEASED,4,186000,2014-08-15T16:13:46,2559106,2014-08-15T15:44:29,DOCCR,M,,NPR,24768,2014-08-15T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M7944,,,,,1.0,,2024-08-07 06:48:28.855
DC144346,1,1,MARGIN RELEASED,5,176000,2014-08-19T16:56:41,2559106,2014-08-19T16:35:06,DOCCR,M,,NPR,24768,2014-08-19T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M9016,,,,,1.0,,2024-08-07 06:48:28.855
DC144440,1,1,MARGIN RELEASED,2,255000,2014-08-22T16:51:15,2559106,2014-08-22T15:30:01,DOCCR,M,,NPR,24768,2014-08-22T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M7632,,,,,1.0,,2024-08-07 06:48:28.855
DC144548,1,1,,2,19000,2014-08-24T17:04:36,23562532,2014-08-24T12:10:39,DOCCR,M,,NPR,23951984,2014-08-24T00:00:00.000000,0,C,CD0122,,NPR,SA0371,1.0,R,,,Y,1,    M9748,,,,,1.0,,2024-08-07 06:48:28.855
DC144734,1,1,LC MARGIN,1,162000,2014-08-29T15:32:42,2559106,2014-08-29T14:50:50,DOCCR,S,,NPR,2927102,2014-08-29T00:00:00.000000,0,C,SATISHRS,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M6515,,,,,,,2024-08-07 06:48:28.855
DC144608,1,1,,2,116000,2014-09-04T18:30:31,23562532,2014-09-04T17:17:47,DOCCR,M,,NPR,23951984,2014-09-04T00:00:00.000000,0,C,CD0122,,NPR,SA0371,1.0,R,,,Y,1,    M9122,,,,,1.0,,2024-08-07 06:48:28.855
DC144769,1,1,LC MARGIN,1,167000,2014-09-07T18:22:42,2559106,2014-09-07T15:46:26,DOCCR,S,,NPR,2927102,2014-09-07T00:00:00.000000,0,C,SATISHRS,,NPR,ABHISHEKS,1.0,C,,,Y,1,   M10202,,,,,,,2024-08-07 06:48:28.855
DC144798,1,1,LC MARGIN,1,329000,2014-09-14T14:41:37,2559106,2014-09-14T13:28:03,DOCCR,S,,NPR,2927102,2014-09-14T00:00:00.000000,0,C,SATISHRS,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M7460,,,,,,,2024-08-07 06:48:28.855
DC144864,1,1,LC MARGIN,1,157000,2014-09-26T15:29:52,2559106,2014-09-26T15:15:31,DOCCR,S,,NPR,2927102,2014-09-26T00:00:00.000000,0,C,SATISHRS,,NPR,ABHISHEKS,1.0,C,,,Y,1,   M10311,,,,,,,2024-08-07 06:48:28.855
DC144865,1,1,LC MARGIN,1,331000,2014-09-26T15:53:43,2559106,2014-09-26T15:28:07,DOCCR,S,,NPR,2927102,2014-09-26T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,   M10503,,,,,,,2024-08-07 06:48:28.855
DC144626,1,1,MARGIN RELEASED,2,185000,2014-10-08T17:25:23,2559106,2014-10-08T16:34:57,DOCCR,M,,NPR,2927102,2014-10-08T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M9499,,,,,1.0,,2024-08-07 06:48:28.855
DC144908,1,1,LC MARGIN,1,168000,2014-10-08T18:03:34,2559106,2014-10-08T17:49:08,DOCCR,S,,NPR,2927102,2014-10-08T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,    M9928,,,,,,,2024-08-07 06:48:28.855
DC144646,1,1,,2,209000,2014-10-09T18:21:10,23562532,2014-10-09T16:58:34,DOCCR,M,,NPR,23951984,2014-10-09T00:00:00.000000,0,C,CD0122,,NPR,SA0371,1.0,R,,,Y,1,    M8991,,,,,1.0,,2024-08-07 06:48:28.855
DC144543,1,1,MARGIN REFUND,2,1379000,2014-10-10T16:11:34,22562131,2014-10-10T14:41:39,DOCCR,M,,NPR,22950799,2014-10-10T00:00:00.000000,0,C,SATISHRS,,NPR,SS0358,1.0,R,,,Y,1,    M6885,,,,,1.0,,2024-08-07 06:48:28.855
DC144626,1,1,LC MARGIN RELEASED,3,175000,2014-10-14T15:31:13,2559106,2014-10-14T13:41:35,DOCCR,M,,NPR,2927102,2014-10-14T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,2.0,R,,,Y,1,    M5929,,,,,1.0,,2024-08-07 06:48:28.855
DC144865,1,1,MARGIN RELEASED,2,165000,2014-10-19T14:59:56,2559106,2014-10-19T13:45:18,DOCCR,M,,NPR,2927102,2014-10-19T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M8113,,,,,1.0,,2024-08-07 06:48:28.855
DC144734,1,1,MARGIN RELEASED,2,162000,2014-10-20T16:59:24,2559106,2014-10-20T12:40:03,DOCCR,M,,NPR,2927102,2014-10-20T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M9600,,,,,1.0,,2024-08-07 06:48:28.855
DC144798,1,1,MARGIN RELEASED,2,164000,2014-10-28T16:31:11,2559106,2014-10-28T15:28:27,DOCCR,M,,NPR,2927102,2014-10-28T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M7076,,,,,1.0,,2024-08-07 06:48:28.855
DC144769,1,1,MARGIN RELEASED,2,167000,2014-10-28T16:46:58,2559106,2014-10-28T15:19:57,DOCCR,M,,NPR,2927102,2014-10-28T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M7231,,,,,1.0,,2024-08-07 06:48:28.855
DC145015,1,1,LC MARGIN HELD,1,35000,2014-10-28T18:30:55,23562532,2014-10-28T17:51:09,DOCCR,S,,NPR,23951990,2014-10-28T00:00:00.000000,0,C,SATISHRS,,NPR,PRATINAP,1.0,C,,,Y,1,    M8022,,,,,,,2024-08-07 06:48:28.855
DC145016,1,1,LC MARGIN HELD,1,17000,2014-10-28T18:33:29,23562532,2014-10-28T18:12:54,DOCCR,S,,NPR,23951990,2014-10-28T00:00:00.000000,0,C,SATISHRS,,NPR,PRATINAP,1.0,C,,,Y,1,    M8029,,,,,,,2024-08-07 06:48:28.855
DC145039,1,1,LC MARGIN HELD,1,155000,2014-11-03T18:03:58,2559106,2014-11-03T17:42:31,DOCCR,S,,NPR,2927101,2014-11-03T00:00:00.000000,0,C,SATISHRS,,NPR,SM0457,1.0,C,,,Y,1,    M8757,,,,,,,2024-08-07 06:48:28.855
DC145047,1,1,LC MARGIN,1,157000,2014-11-05T16:57:49,2559106,2014-11-05T12:18:35,DOCCR,S,,NPR,2927102,2014-11-05T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,C,,,Y,1,    M7582,,,,,,,2024-08-07 06:48:28.855
DC144865,1,1,MARGIN RELEASED,3,166000,2014-11-11T15:53:28,2559106,2014-11-11T15:39:10,DOCCR,M,,NPR,2927102,2014-11-11T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M7819,,,,,1.0,,2024-08-07 06:48:28.855
DC143712,1,1,BG MARGIN HELD,1,75000,2014-11-14T15:58:29,6154737,2014-11-14T14:52:41,BNKGR,A,,NPR,6931803,2014-11-14T00:00:00.000000,0,C,SATISHRS,,NPR,PRATINAP,1.0,C,,,Y,1,    M7053,,,,,,,2024-08-07 06:48:28.855
DC145093,1,1,LC MARGIN HELD,1,312000,2014-11-17T17:21:00.000000,2559106,2014-11-17T16:14:49,DOCCR,S,,NPR,2927102,2014-11-17T00:00:00.000000,0,C,SATISHRS,,NPR,PRATINAP,1.0,C,,,Y,1,    M9198,,,,,,,2024-08-07 06:48:28.855
DC145094,1,1,LC MARGIN HELD,1,143000,2014-11-17T17:21:39,2559106,2014-11-17T16:41:01,DOCCR,S,,NPR,2927102,2014-11-17T00:00:00.000000,0,C,SATISHRS,,NPR,PRATINAP,1.0,C,,,Y,1,    M9207,,,,,,,2024-08-07 06:48:28.855
DC145097,1,1,LC MARGIN,1,192000,2014-11-18T16:47:40,2559106,2014-11-18T12:56:56,DOCCR,S,,NPR,2927102,2014-11-18T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,    M8404,,,,,,,2024-08-07 06:48:28.855
DC144419,1,1,MARGIN RELEASED,2,96000,2014-11-18T17:15:48,2559106,2014-11-18T14:02:23,DOCCR,M,,NPR,24768,2014-11-18T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M8790,,,,,1.0,,2024-08-07 06:48:28.855
DC144798,1,1,MARGIN RELEASED,3,165000,2014-11-20T17:42:37,2559106,2014-11-20T17:02:41,DOCCR,M,,NPR,2927102,2014-11-20T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M8549,,,,,1.0,,2024-08-07 06:48:28.855
DC145118,1,1,LC MARGIN HELD,1,46000,2014-11-21T12:23:10,23562532,2014-11-21T11:57:12,DOCCR,S,,NPR,23951984,2014-11-21T00:00:00.000000,0,C,SATISHRS,,NPR,PRATINAP,1.0,C,,,Y,1,    M3593,,,,,,,2024-08-07 06:48:28.855
DC144908,1,1,LC MARGIN RELEASED,2,168000,2014-11-21T15:14:15,2559106,2014-11-21T14:43:30,DOCCR,U,,NPR,2927102,2014-11-21T00:00:00.000000,0,C,SATISHRS,,NPR,SM0457,1.0,R,,,Y,1,    M6778,,,,,1.0,,2024-08-07 06:48:28.855
DC145126,1,1,LC MARGIN,1,286000,2014-11-23T16:16:10,2559106,2014-11-23T14:40:30,DOCCR,S,,NPR,2927102,2014-11-23T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,    M9588,,,,,,,2024-08-07 06:48:28.855
DC145039,1,1,MARGIN RELEASED,2,155000,2014-11-25T16:15:09,2559106,2014-11-25T14:49:50,DOCCR,M,,NPR,2927101,2014-11-25T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M7899,,,,,1.0,,2024-08-07 06:48:28.855
DC145047,1,1,MARGIN RELEASED,2,157000,2014-12-01T15:41:06,2559106,2014-12-01T15:06:08,DOCCR,M,,NPR,2927102,2014-12-01T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M9133,,,,,1.0,,2024-08-07 06:48:28.855
DC144864,1,1,MARGIN RELEASED,2,157000,2014-12-04T15:39:23,2559106,2014-12-04T12:59:08,DOCCR,M,,NPR,2927102,2014-12-04T00:00:00.000000,0,C,SATISHRS,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M7360,,,,,1.0,,2024-08-07 06:48:28.855
DC143760,1,1,BG MARGIN HELD,1,100000,2014-12-08T14:35:25,341076484,2014-12-08T14:13:04,BNKGR,A,,NPR,34964992,2014-12-08T00:00:00.000000,0,C,SATISHRS,,NPR,SM0457,1.0,C,,,Y,1,    M6286,,,,,,,2024-08-07 06:48:28.855
DC145195,1,1,LC MARGIN HELD,1,308000,2014-12-08T17:05:43,2559106,2014-12-08T15:33:33,DOCCR,S,,NPR,2927101,2014-12-08T00:00:00.000000,0,C,SATISHRS,,NPR,SM0457,1.0,C,,,Y,1,    M8480,,,,,,,2024-08-07 06:48:28.855
DC145219,1,1,LC MARGIN HELD,1,73000,2014-12-12T14:57:46,23562532,2014-12-12T14:23:07,DOCCR,S,,NPR,23951984,2014-12-12T00:00:00.000000,0,C,SATISHRS,,NPR,PRATINAP,1.0,C,,,Y,1,    M6456,,,,,,,2024-08-07 06:48:28.855
DC145270,1,1,LC MARGIN HELD,1,24000,2014-12-26T13:24:02,23562532,2014-12-26T12:05:11,DOCCR,S,,NPR,23951984,2014-12-26T00:00:00.000000,0,C,SATISHRS,,NPR,PRATINAP,1.0,C,,,Y,1,    M6655,,,,,,,2024-08-07 06:48:28.855
DC145094,1,1,MARGIN RELEASED,2,143000,2015-01-04T16:30:05,2559106,2015-01-04T15:00:06,DOCCR,M,,NPR,2927102,2015-01-04T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M9832,,,,,1.0,,2024-08-07 06:48:28.855
DC155323,1,1,LC MARGIN HELD,1,306000,2015-01-04T16:37:13,2559106,2015-01-04T16:09:57,DOCCR,S,,NPR,2927101,2015-01-04T00:00:00.000000,0,C,SATISHRS,,NPR,SM0457,1.0,C,,,Y,1,    M9899,,,,,,,2024-08-07 06:48:28.855
DC143712,1,1,BG MARGIN,2,75000,2015-01-07T13:52:42,6154737,2015-01-07T11:30:23,BNKGR,R,,NPR,6931803,2015-01-07T00:00:00.000000,75000,C,SATISHRS,,NPR,ABHISHEKS,1.0,R,,,Y,1,    M5195,,,,,1.0,,2024-08-07 06:48:28.855
DC145195,1,1,MARGIN RELEASED,2,152000,2015-01-07T17:51:49,2559106,2015-01-07T17:24:39,DOCCR,M,,NPR,2927101,2015-01-07T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M8597,,,,,1.0,,2024-08-07 06:48:28.855
DC145016,1,1,,2,17000,2015-01-08T17:04:10,23562532,2015-01-08T16:28:17,DOCCR,M,,NPR,23951990,2015-01-08T00:00:00.000000,0,C,CD0122,,NPR,SA0371,1.0,R,,,Y,1,    M8415,,,,,1.0,,2024-08-07 06:48:28.855
DC145015,1,1,LC MARGIN,2,35000,2015-01-11T18:00:32,23562532,2015-01-11T15:49:31,DOCCR,M,,NPR,23951990,2015-01-11T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,R,,,Y,1,    M9889,,,,,1.0,,2024-08-07 06:48:28.855
DC145118,1,1,,2,46000,2015-01-13T16:15:20,23562532,2015-01-13T15:43:37,DOCCR,M,,NPR,23951984,2015-01-13T00:00:00.000000,0,C,CD0122,,NPR,SA0371,1.0,R,,,Y,1,    M5543,,,,,1.0,,2024-08-07 06:48:28.855
DC145219,1,1,LC MARGIN RELEASED,2,73000,2015-01-16T15:05:15,23562532,2015-01-16T14:27:15,DOCCR,M,,NPR,23951984,2015-01-16T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,R,,,Y,1,    M8307,,,,,1.0,,2024-08-07 06:48:28.855
DC145195,1,1,MARGIN RELEASED,3,156000,2015-01-18T17:14:56,2559106,2015-01-18T17:03:18,DOCCR,M,,NPR,2927101,2015-01-18T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,2.0,R,,,Y,1,   M11210,,,,,1.0,,2024-08-07 06:48:28.855
DC145097,1,1,MARGIN RELEASED,2,192000,2015-01-18T18:11:04,2559106,2015-01-18T17:29:02,DOCCR,M,,NPR,2927102,2015-01-18T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,   M11816,,,,,1.0,,2024-08-07 06:48:28.855
DC145093,1,1,MARGIN RELEASED,2,312000,2015-01-20T16:22:27,2559106,2015-01-20T15:52:04,DOCCR,M,,NPR,2927102,2015-01-20T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M2120,,,,,1.0,,2024-08-07 06:48:28.855
DC145126,1,1,MARGIN RELEASED,2,142000,2015-01-28T18:20:15,2559106,2015-01-28T17:49:10,DOCCR,M,,NPR,2927102,2015-01-28T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M9686,,,,,1.0,,2024-08-07 06:48:28.855
DC155323,1,1,MARGIN RELEASED,2,152000,2015-02-02T18:00:49,2559106,2015-02-02T16:17:41,DOCCR,M,,NPR,2927101,2015-02-02T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M9884,,,,,1.0,,2024-08-07 06:48:28.855
DC145126,1,1,MARGIN RELEASED,3,144000,2015-02-05T16:10:36,2559106,2015-02-05T15:40:29,DOCCR,M,,NPR,2927102,2015-02-05T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M7941,,,,,1.0,,2024-08-07 06:48:28.855
DC155566,1,1,LC MARGIN,1,303000,2015-02-20T16:20:12,2559106,2015-02-20T14:58:22,DOCCR,S,,NPR,2927101,2015-02-20T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,C,,,Y,1,   M10366,,,,,,,2024-08-07 06:48:28.855
DC155567,1,1,LC MARGIN,1,157000,2015-02-20T16:21:58,2559106,2015-02-20T15:04:12,DOCCR,S,,NPR,2927101,2015-02-20T00:00:00.000000,0,C,CD0122,,NPR,ABHISHEKS,1.0,C,,,Y,1,   M10382,,,,,,,2024-08-07 06:48:28.855
DC145270,1,1,,2,24000,2015-02-25T17:04:33,23562532,2015-02-25T16:53:58,DOCCR,M,,NPR,23951984,2015-02-25T00:00:00.000000,0,C,CD0122,,NPR,SA0371,1.0,R,,,Y,1,    M8927,,,,,1.0,,2024-08-07 06:48:28.855
DC155323,1,1,MARGIN RELEASED,3,154000,2015-02-26T17:19:05,2559106,2015-02-26T15:23:33,DOCCR,M,,NPR,2927101,2015-02-26T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,2.0,R,,,Y,1,    M7825,,,,,1.0,,2024-08-07 06:48:28.855
DC155666,1,1,LC MARGIN HELD,1,315000,2015-03-09T17:57:04,2559106,2015-03-09T15:10:21,DOCCR,S,,NPR,2927101,2015-03-09T00:00:00.000000,0,C,SATISHRS,,NPR,SM0457,1.0,C,,,Y,1,   M13313,,,,,,,2024-08-07 06:48:28.855
DC155688,1,1,LC MARGIN,1,303000,2015-03-13T15:49:46,2559106,2015-03-13T13:29:17,DOCCR,S,,NPR,2927101,2015-03-13T00:00:00.000000,0,C,CD0122,,NPR,NAMRATAM,1.0,C,,,Y,1,    M8662,,,,,,,2024-08-07 06:48:28.855
DC155566,1,1,MARGIN RELEASED,2,303000,2015-03-15T18:20:52,2559106,2015-03-15T16:47:52,DOCCR,M,,NPR,2927101,2015-03-15T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,   M11836,,,,,1.0,,2024-08-07 06:48:28.855
DC155712,1,1,LC MARGIN,1,315000,2015-03-18T17:27:02,2559106,2015-03-18T14:49:59,DOCCR,S,,NPR,2927101,2015-03-18T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,    M9476,,,,,,,2024-08-07 06:48:28.855
DC155740,1,1,LC MARGIN,1,331000,2015-03-24T18:50:15,2559106,2015-03-24T17:58:48,DOCCR,S,,NPR,2927101,2015-03-24T00:00:00.000000,0,C,SATISHRS,,NPR,NAMRATAM,1.0,C,,,Y,1,   M10172,,,,,,,2024-08-07 06:48:28.855
DC155567,1,1,MARGIN RELEASED,2,157000,2015-03-31T13:34:18,2559106,2015-03-31T12:54:39,DOCCR,U,,NPR,2927101,2015-03-31T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M5781,,,,,1.0,,2024-08-07 06:48:28.855
DC155666,1,1,,2,149000,2015-04-08T16:35:16,2559106,2015-04-08T16:10:20,DOCCR,M,,NPR,2927101,2015-04-08T00:00:00.000000,0,C,CD0122,,NPR,SA0371,1.0,R,,,Y,1,    M8523,,,,,1.0,,2024-08-07 06:48:28.855
DC155809,1,1,LC MARGIN HELD,1,158000,2015-04-08T18:45:09,2559106,2015-04-08T18:35:19,DOCCR,S,,NPR,2927107,2015-04-08T00:00:00.000000,0,C,SATISHRS,,NPR,SM0457,1.0,C,,,Y,1,    M9737,,,,,,,2024-08-07 06:48:28.855
DC155688,1,1,,2,151000,2015-04-16T18:49:18,2559106,2015-04-16T17:34:23,DOCCR,M,,NPR,2927101,2015-04-16T00:00:00.000000,0,C,CD0122,,NPR,SA0371,1.0,R,,,Y,1,   M11502,,,,,1.0,,2024-08-07 06:48:28.855
DC155822,1,1,LC MARGIN HELD,1,211000,2015-04-16T19:31:34,2559106,2015-04-16T15:09:00.000000,DOCCR,S,,NPR,2927101,2015-04-16T00:00:00.000000,0,C,SATISHRS,,NPR,PRESHAA,1.0,C,,,Y,1,   M11686,,,,,,,2024-08-07 06:48:28.855
DC155828,1,1,LC MARGIN HELD,1,159000,2015-04-16T19:32:26,2559106,2015-04-16T17:08:35,DOCCR,S,,NPR,2927101,2015-04-16T00:00:00.000000,0,C,SATISHRS,,NPR,PRESHAA,1.0,C,,,Y,1,   M11688,,,,,,,2024-08-07 06:48:28.855
DC155688,1,1,,3,152000,2015-04-19T14:44:58,2559106,2015-04-19T14:13:34,DOCCR,M,,NPR,2927101,2015-04-19T00:00:00.000000,0,C,CD0122,,NPR,SA0371,2.0,R,,,Y,1,    M9660,,,,,1.0,,2024-08-07 06:48:28.855
DC155666,1,1,MARGIN RELEASED,3,166000,2015-04-23T16:25:55,2559106,2015-04-23T14:35:14,DOCCR,U,,NPR,2927101,2015-04-23T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M9070,,,,,1.0,,2024-08-07 06:48:28.855
DC155712,1,1,MARGIN RELEASED,2,315000,2015-04-30T15:58:21,2559106,2015-04-30T15:47:02,DOCCR,M,,NPR,2927101,2015-04-30T00:00:00.000000,0,C,CD0122,,NPR,PRADHUMNAN,1.0,R,,,Y,1,    M7336,,,,,1.0,,2024-08-07 06:48:28.855
DC155822,1,1,LC MARGIN RELEASED,2,152000,2015-05-31T16:15:13,2559106,2015-05-31T16:13:42,DOCCR,M,,NPR,2927101,2015-05-31T00:00:00.000000,0,C,CD0122,,NPR,SM0457,1.0,R,,,Y,1,   M11708,,,,,1.0,,2024-08-07 06:48:28.855
